Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,5200.0,5200.0,5200.0,5200.0,4629.85400390625,0.0
2019-01-02,5200.0,5245.0,5200.0,5240.0,4665.46875,35956000.0
2019-01-03,5200.0,5220.0,5115.0,5180.0,4612.04638671875,72358000.0
2019-01-04,5175.0,5205.0,5125.0,5205.0,4634.3056640625,51465000.0
2019-01-07,5265.0,5325.0,5245.0,5245.0,4669.919921875,73438000.0
2019-01-08,5230.0,5320.0,5205.0,5240.0,4665.46875,66247500.0
2019-01-09,5300.0,5320.0,5225.0,5255.0,4678.82373046875,84871000.0
2019-01-10,5300.0,5300.0,5190.0,5255.0,4678.82373046875,114314500.0
2019-01-11,5280.0,5300.0,5235.0,5250.0,4674.37109375,84826500.0
2019-01-14,5220.0,5235.0,5150.0,5200.0,4629.85400390625,87547500.0
2019-01-15,5230.0,5260.0,5190.0,5260.0,4683.275390625,87763000.0
2019-01-16,5260.0,5285.0,5245.0,5285.0,4705.53466796875,94972500.0
2019-01-17,5290.0,5330.0,5285.0,5330.0,4745.6005859375,91654000.0
2019-01-18,5340.0,5425.0,5315.0,5425.0,4830.18505859375,100873500.0
2019-01-21,5425.0,5600.0,5390.0,5545.0,4937.0283203125,87118000.0
2019-01-22,5600.0,5620.0,5450.0,5600.0,4985.99609375,91907000.0
2019-01-23,5600.0,5600.0,5475.0,5500.0,4896.9599609375,98512500.0
2019-01-24,5430.0,5485.0,5355.0,5460.0,4861.34716796875,106781000.0
2019-01-25,5400.0,5520.0,5400.0,5500.0,4896.9599609375,68944000.0
2019-01-28,5515.0,5515.0,5475.0,5495.0,4892.50927734375,69704000.0
2019-01-29,5445.0,5550.0,5440.0,5540.0,4932.57568359375,77679000.0
2019-01-30,5560.0,5560.0,5495.0,5520.0,4914.76806640625,76285000.0
2019-01-31,5520.0,5640.0,5520.0,5635.0,5017.1591796875,135904500.0
2019-02-01,5680.0,5750.0,5560.0,5635.0,5017.1591796875,57719500.0
2019-02-04,5635.0,5635.0,5500.0,5500.0,4896.9599609375,113846500.0
2019-02-05,5500.0,5500.0,5500.0,5500.0,4896.9599609375,0.0
